Date,USD_NGN,GBP_NGN,EUR_NGN,Day,Month,Year,Weekday,Is_Weekend,USD_Diff,EUR_Diff,GBP_Diff,USD_MA7,EUR_MA7,GBP_MA7,USD_Rate_Category,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,target
2016-03-10,198.9959,222.3934,284.2855,10,March,2016,Thursday,False,0.0782000000000096,3.86240000000001,1.70300000000003,199.094471428571,219.525642857143,283.348371428571,Low,198.9177,198.6312,198.725,198.7291,199.0423714285714,0.20830409433161595,199.11012142857143,0.3145346065791516,199.05097666666668,0.2509304281694977,197.7566
2016-03-11,197.7566,220.4656,284.3345,11,March,2016,Friday,False,-1.23930000000001,-1.92780000000002,0.0489999999999782,198.884814285714,219.693142857143,283.476685714286,Low,198.9959,199.2242,199.0569,198.9067,199.09447142857144,0.11138548251594836,199.12947142857143,0.29685561740019956,199.05987,0.24375457010689167,197.268
2016-03-12,197.268,219.9209,283.632,12,March,2016,Saturday,True,-0.488599999999991,-0.544700000000006,-0.702499999999986,198.621585714286,219.8007,283.527728571429,Low,197.7566,199.1106,199.5407,198.9719,198.8848142857143,0.5065928655534141,199.03659285714284,0.47266362159094,199.02153333333337,0.34008280262810986,198.2313
2016-03-13,198.2313,221.3362,285.0368,13,March,2016,Sunday,True,0.963300000000004,1.4153,1.40480000000002,198.480628571429,220.131642857143,283.797485714286,Low,197.268,199.218,199.815,198.9448,198.62158571428571,0.776520258222315,198.87425714285715,0.6450520548035139,198.96473666666668,0.46718795263967766,198.934
2016-03-14,198.934,220.8315,284.0777,14,March,2016,Monday,False,0.702699999999993,-0.504699999999985,-0.959100000000035,198.453914285714,220.355385714286,283.819071428571,Low,198.2313,199.121,198.7737,199.1905,198.48062857142855,0.7388541572701519,198.76113571428573,0.6050075875009393,198.9409533333333,0.48601956022287357,198.8589
2016-03-15,198.8589,220.8919,281.5047,15,March,2016,Tuesday,False,-0.075099999999992,0.0603999999999871,-2.57299999999998,198.4232,220.624357142857,283.636242857143,Low,198.934,199.0739,199.3094,199.2961,198.4539142857143,0.714831834370626,198.7725857142857,0.6067779417126925,198.93240333333333,0.48372894624621715,198.6476
2016-03-16,198.6476,222.8199,283.0927,16,March,2016,Wednesday,False,-0.211299999999994,1.928,1.58799999999996,198.384614285714,221.237057142857,283.709128571429,Low,198.8589,198.9177,199.0244,198.709,198.42319999999998,0.6878632228389882,198.74040714285715,0.5877674349919377,198.91783,0.47895623308042223,199.1057
2016-03-17,199.1057,225.2993,288.2254,17,March,2016,Thursday,False,0.458100000000002,2.4794,5.1327,198.4003,221.652185714286,284.271971428571,Low,198.6476,198.9959,198.6312,199.0961,198.38461428571432,0.6626132593222724,198.71349285714285,0.582365016996742,198.91578333333334,0.48000940154793137,198.7844
2016-03-18,198.7844,224.0367,287.82,18,March,2016,Friday,False,-0.321300000000008,-1.26259999999999,-0.405399999999986,198.547128571429,222.162342857143,284.7699,Low,199.1057,197.7566,199.2242,199.001,198.4003,0.6805524814451243,198.7473857142857,0.5909516013722901,198.91610333333335,0.48013693842837046,199.068
2016-03-19,199.068,224.3563,288.2305,19,March,2016,Saturday,True,0.283600000000007,0.319600000000008,0.410500000000013,198.804271428571,222.795971428571,285.426828571428,Low,198.7844,197.268,199.1106,198.9068,198.54712857142857,0.6273200664058041,198.71597142857144,0.5751328628149752,198.90888333333334,0.4804447430159302,199.2238
